PointName,point_id,role,region,Id [A],Iq [A],If [A],campaign_id,seed,sample_index
961f381c438051d8,961f381c438051d8,selection,interior,-34.017901000,16.695644000,7.850828000,eesm_task9_real_baseline_20260715,20260711,10
5874043c2d6fb12e,5874043c2d6fb12e,selection,field_weakening,-109.819962000,12.615303000,6.143520000,eesm_task9_real_baseline_20260715,20260711,11
2a2914bcdb709e16,2a2914bcdb709e16,reference,boundary,0.000000000,60.000000000,8.000000000,eesm_task9_real_baseline_20260715,20260712,0
8a29b780e7f5352a,8a29b780e7f5352a,reference,field_weakening,-100.000000000,100.000000000,5.000000000,eesm_task9_real_baseline_20260715,20260712,1
6564bc4e6d3304e6,6564bc4e6d3304e6,reference,saturation,-20.000000000,90.000000000,15.000000000,eesm_task9_real_baseline_20260715,20260712,2
0ba519b4f36e4ded,0ba519b4f36e4ded,reference,interior,-65.684509000,76.861027000,10.169490000,eesm_task9_real_baseline_20260715,20260712,3
82ab967a28689053,82ab967a28689053,reference,field_weakening,-116.852299000,7.881936000,2.464802000,eesm_task9_real_baseline_20260715,20260712,4
5be3f9382f9994f4,5be3f9382f9994f4,reference,interior,-86.854949000,33.518475000,4.790509000,eesm_task9_real_baseline_20260715,20260712,5
1e0504c4bffcb50a,1e0504c4bffcb50a,reference,saturation,-7.824179000,107.938790000,12.986609000,eesm_task9_real_baseline_20260715,20260712,6
ef4d2e93190c8d57,ef4d2e93190c8d57,reference,interior,-30.065814000,49.548474000,8.983950000,eesm_task9_real_baseline_20260715,20260712,7
4158030c6691f2d9,4158030c6691f2d9,scheduler_audit,saturation,-90.000000000,90.000000000,12.000000000,eesm_task9_real_baseline_20260715,2909,0
0cf5316bc227dcc2,0cf5316bc227dcc2,scheduler_audit,interior,-47.620086000,103.751183000,11.213749000,eesm_task9_real_baseline_20260715,2909,1
2b5756f3b7099ac5,2b5756f3b7099ac5,scheduler_audit,interior,-90.951262000,3.958564000,0.700314000,eesm_task9_real_baseline_20260715,2909,2
d46ba4638d0e7e03,d46ba4638d0e7e03,scheduler_audit,interior,-15.457319000,78.608960000,6.048110000,eesm_task9_real_baseline_20260715,2909,3
